frame,object_id,x,y,z,state
16,1,-39.0465,22.0476,59.2698,3
17,1,-39.2172,22.4205,59.3555,3
18,1,-39.3924,22.7086,59.3777,3
19,1,-39.4561,22.9083,59.2200,3
20,1,-39.5051,23.0838,58.9435,3
21,1,-39.5370,23.2218,58.6020,3
22,1,-39.5632,23.3064,58.2188,3
23,1,-39.6027,23.3182,57.8894,3
24,1,-39.6084,23.2159,57.4557,3
25,1,-39.6771,23.1304,57.0695,3
26,1,-39.7401,23.1341,56.6034,3
27,1,-39.8610,23.2431,56.1662,3
28,1,-39.8925,23.3288,55.8785,3
29,1,-40.0000,23.5513,55.6041,3
30,1,-40.1741,23.7760,55.3397,3
31,1,-40.3375,23.9090,55.0656,3
32,1,-40.4510,24.0500,54.6799,3
33,1,-40.5265,24.2150,54.3087,3
34,1,-40.5864,24.2830,53.9904,3
35,1,-40.6733,24.3440,53.6314,3
36,1,-40.7807,24.3386,53.2507,3
37,1,-40.8164,24.2197,52.9664,3
38,1,-40.8681,24.0790,52.7240,3
39,1,-40.8807,23.9014,52.5780,3
40,1,-40.8821,23.7721,52.3988,3
41,1,-40.8080,23.6551,52.2287,3
42,1,-40.7473,23.6584,52.1331,3
43,1,-40.6413,23.6530,51.9794,3
44,1,-40.5941,23.6813,51.7827,3
45,1,-40.5329,23.6647,51.4841,3
46,1,-40.5291,23.6939,51.1733,3
47,1,-40.4450,23.7164,50.7747,3
48,1,-40.3416,23.7382,50.3810,3
49,1,-40.2893,23.7734,50.0270,3
50,1,-40.2801,23.7937,49.7101,3
51,1,-40.2616,23.9001,49.3976,3
52,1,-40.2404,23.9401,49.1294,3
53,1,-40.2429,23.9202,48.9307,3
54,1,-40.1406,23.9229,48.6694,3
55,1,-40.1177,23.9468,48.3769,3
56,1,-40.0364,24.0137,48.1391,3
57,1,-39.9278,24.0447,47.9279,3
58,1,-39.8261,24.1068,47.6412,3
59,1,-39.7201,24.2088,47.3804,3
60,1,-39.6020,24.3092,47.0775,3
61,1,-39.5220,24.2894,46.7664,3
62,1,-39.5102,24.2327,46.5577,3
63,1,-39.4819,24.1410,46.3096,3
64,1,-39.3781,23.9248,45.9893,3
65,1,-39.3458,23.7795,45.6794,3
66,1,-39.2985,23.7010,45.3741,3
67,1,,,,4
68,1,,,,4
69,1,,,,4
70,1,,,,4
71,1,,,,4
71,2,-0.5766,8.6359,17.6546,2
72,1,,,,4
72,2,-0.7783,8.6142,17.3621,2
73,1,,,,4
73,2,-0.9274,8.4005,17.1289,2
74,1,,,,4
74,2,-1.0905,8.1524,16.8597,2
75,1,,,,4
75,2,-1.2559,7.8727,16.6300,2
76,1,,,,4
76,2,-1.3916,7.5628,16.4310,2
77,1,,,,4
77,2,-1.5552,7.1147,16.2370,2
78,1,,,,4
78,2,-1.7244,6.5164,15.9441,2
79,1,,,,4
79,2,-1.8932,5.8515,15.6200,2
80,2,-1.9961,5.2396,15.3905,2
81,2,-2.0845,4.6626,15.1675,2
82,2,-2.2345,4.1174,14.9372,2
83,2,-2.4099,3.5945,14.6590,2
84,2,-2.5664,3.0782,14.3439,2
85,2,-2.6184,2.6536,13.9986,2
86,2,-2.6686,2.3152,13.7137,2
87,2,-2.7310,1.9747,13.4197,2
88,2,-2.7557,1.5889,13.1192,2
89,2,-2.7489,1.2313,12.7924,2
90,2,-2.6979,0.8518,12.5405,2
91,2,-2.6527,0.4169,12.2282,2
92,2,-2.5778,-0.0969,12.0360,2
93,2,-2.4757,-0.6297,11.8852,2
94,2,-2.3108,-1.2645,11.7010,2
168,3,-45.7154,-36.3725,26.8182,1
169,3,-45.6416,-36.7651,26.5797,1
170,3,-45.5245,-37.1049,26.3478,1
171,3,-45.3946,-37.3803,26.1520,1
